HSHD_NUM,BASKET_NUM,PURCHASE_DATE,PRODUCT_NUM,DEPARTMENT,COMMODITY,SPEND,UNITS
10,281,2018-08-19,163380,"FOOD                      ","GROCERY STAPLE            ",2.29,1
10,281,2018-08-19,248793,"PHARMA                    ","MEDICATION                ",7.99,1
10,281,2018-08-19,985784,"FOOD                      ","BAKERY                    ",2.49,1
10,281,2018-08-19,1189945,"FOOD                      ","ALCOHOL                   ",12.99,1
10,281,2018-08-19,2213539,"FOOD                      ","ALCOHOL                   ",4.49,1
10,281,2018-08-19,5150409,"FOOD                      ","DAIRY                     ",2.19,1
10,281,2018-08-19,5290835,"FOOD                      ","DELI                      ",5.73,1
10,281,2018-08-19,5290841,"FOOD                      ","BULK PRODUCTS             ",4.05,1
10,281,2018-08-19,6072685,"FOOD                      ","GROCERY STAPLE            ",2.99,1
10,281,2018-08-19,6218373,"NON-FOOD                  ","PET                       ",8.79,1
10,281,2018-08-19,6441562,"FOOD                      ","GROCERY STAPLE            ",2.99,1
10,515,2018-08-21,4366143,"FOOD                      ","GROCERY STAPLE            ",3.39,1
10,515,2018-08-21,761347,"FOOD                      ","BEVERAGE - NON WATER      ",5.49,1
10,515,2018-08-21,524048,"FOOD                      ","SEAFOOD                   ",1.89,1
10,515,2018-08-21,638711,"FOOD                      ","GROCERY STAPLE            ",3.99,1
10,515,2018-08-21,746765,"NON-FOOD                  ","TOBACCO PRODUCTS          ",7.44,1
10,766,2018-08-23,746765,"NON-FOOD                  ","TOBACCO PRODUCTS          ",7.44,1
10,766,2018-08-23,89640,"NON-FOOD                  ","PET                       ",3.49,1
10,766,2018-08-23,102284,"FOOD                      ","SEAFOOD                   ",5.99,1
10,766,2018-08-23,1142318,"FOOD                      ","ALCOHOL                   ",19.99,1
10,766,2018-08-23,1361988,"FOOD                      ","MEAT - BEEF               ",4.5,1
10,766,2018-08-23,6218373,"NON-FOOD                  ","PET                       ",8.79,1
10,766,2018-08-23,5558513,"FOOD                      ","IN STORE FOOD SERVICE     ",4.99,1
10,1120,2018-08-26,5443616,"FOOD                      ","DAIRY                     ",1.39,1
10,1120,2018-08-26,2695609,"FOOD                      ","FROZEN FOOD               ",2.89,1
10,1120,2018-08-26,4476531,"FOOD                      ","PRODUCE                   ",1.55,1
10,1120,2018-08-26,3946893,"FOOD                      ","PRODUCE                   ",0.77,1
10,1120,2018-08-26,761347,"FOOD                      ","BEVERAGE - NON WATER      ",5.49,1
10,1120,2018-08-26,97554,"FOOD                      ","FROZEN FOOD               ",2.99,1
10,1120,2018-08-26,88187,"FOOD                      ","DELI                      ",4.99,1
10,1120,2018-08-26,6583,"FOOD                      ","IN STORE FOOD SERVICE     ",3.65,1
10,1120,2018-08-26,163380,"FOOD                      ","GROCERY STAPLE            ",2.29,1
10,1425,2018-08-28,746765,"NON-FOOD                  ","TOBACCO PRODUCTS          ",14.88,2
10,1425,2018-08-28,99253,"FOOD                      ","DRY GOODS                 ",1.89,1
10,1425,2018-08-28,102713,"FOOD                      ","MEAT - SAUSAGE            ",3.49,1
10,1425,2018-08-28,829845,"FOOD                      ","DRY GOODS                 ",1.99,1
10,1425,2018-08-28,829967,"FOOD                      ","DRY GOODS                 ",1.99,1
10,1425,2018-08-28,4199780,"FOOD                      ","GROCERY STAPLE            ",2.99,1
10,1425,2018-08-28,6218373,"NON-FOOD                  ","PET                       ",8.79,1
10,1425,2018-08-28,6241473,"FOOD                      ","INTERNATIONAL FOOD        ",3.99,1
10,1875,2018-09-01,6347930,"NON-FOOD                  ","PET                       ",8.79,1
10,1875,2018-09-01,6788755,"FOOD                      ","BABY                      ",10.99,1
10,1875,2018-09-01,5938981,"FOOD                      ","INTERNATIONAL FOOD        ",2.59,1
10,1875,2018-09-01,1142318,"FOOD                      ","ALCOHOL                   ",19.99,1
10,1875,2018-09-01,761347,"FOOD                      ","BEVERAGE - NON WATER      ",5.49,1
10,1875,2018-09-01,746765,"NON-FOOD                  ","TOBACCO PRODUCTS          ",22.32,3
10,1875,2018-09-01,491625,"FOOD                      ","GROCERY STAPLE            ",1.99,1
10,1875,2018-09-01,163380,"FOOD                      ","GROCERY STAPLE            ",2.29,1
10,1875,2018-09-01,248809,"PHARMA                    ","MEDICATION                ",13.49,1
10,2403,2018-09-05,705804,"FOOD                      ","INTERNATIONAL FOOD        ",2,2
10,2403,2018-09-05,725531,"FOOD                      ","INTERNATIONAL FOOD        ",3.78,2
10,2403,2018-09-05,9099,"FOOD                      ","PRODUCE                   ",1.47,1
10,2403,2018-09-05,90382,"FOOD                      ","GROCERY STAPLE            ",3.49,1
